タイトル(差分名),発狂難易度,判定ランク,クリアタイプ,スコアランク,EXスコア,perfect,great,good,bad,poor,maxcombo,最小BP,プレイ回数,スコアレート
SunnyShinyRing -Another-,★1,EASY,FC,AAA,2802,1279,244,7,0,6,1530/1530,6,91,91.57
星の器〜STAR OF ANDROMEDA (ANOTHER),★1,EASY,FC,AAA,3919,1916,87,1,2,2,2006/2006,1,68,97.68
Air ANOTHER,★2,EASY,FC,AAA,3555,1688,179,3,0,2,1870/1870,2,50,95.05
約束 -HappyHyperStarmiX- (虎の穴),★1,EASY,FC,AAA,4021,1969,83,3,1,3,2056/2056,1,74,97.79
aliceblue (Radio Edit) (SP EX),★1,NORMAL,FC,AAA,3058,1390,278,26,4,12,1700/1700,2,24,89.94
Arcadia -★1-,★1,EASY,FC,AAA,3119,1470,179,1,0,3,1650/1650,3,40,94.52
Imperishable Night 2006 -SP ANOTHER-,★3,EASY,Hard,AAA,3824,1823,178,3,1,1,1978/2006,2,47,95.31
☆ twinklesky ☆ _12 虎のANOTHER,★1,EASY,Hard,AAA,3492,1608,276,12,3,32,979/1922,18,51,90.84
X (AFOTHER),★4,EASY,Hard,AAA,5015,2342,331,8,3,4,855/2685,7,14,93.39
the sorrow of the islands (7keys:maniac),★3,NORMAL,Hard,AAA,3378,1546,286,41,5,11,1101/1887,21,8,89.51
searoad tracks =side blue=,★2,NORMAL,Hard,AAA,3962,1830,302,68,20,7,1033/2222,24,9,89.15
恋わずらい -shiny party floor- maniac,★1,EASY,Hard,AAA,2243,1004,235,13,0,11,843/1257,11,11,89.22
Armais (u7),★1,EASY,FC,AAA,2412,1183,46,0,1,2,1231/1231,0,71,97.97
Bird Sprite -D.K.R. mix- (虎のanother),★1,NORMAL,FC,AAA,2802,1273,256,18,0,3,1547/1547,3,25,90.56
Quark,★4,NORMAL,Hard,AAA,2915,1385,145,9,1,1,1508/1541,2,11,94.58
Eleventh Hour (time limit soon! mix) [29Another],★1,NORMAL,FC,AAA,3003,1412,179,19,0,0,1610/1610,0,56,93.26
ハルトマンの妖怪少女～VirusⅤ [ANOTHER],★1,NORMAL,FC,AAA,2553,1212,129,15,1,2,1357/1357,3,30,94.07
Liberte-SuperSaw Epic mix- -ANOTHER-,★4,NORMAL,FC,AAA,3197,1511,175,14,2,1,1703/1703,0,10,93.86
A.S.D.F [EX],★4,NORMAL,Hard,AA,2927,1320,287,57,10,11,576/1677,21,34,87.27
cadence [29Another],★4,EASY,Hard,AAA,3677,1716,245,9,4,6,693/1976,10,4,93.04
Party 4U (AFOTHER),★4,NORMAL,Hard,AAA,2987,1374,239,20,2,0,1620/1635,1,37,91.35
★SweeT DiscoverY★ (虎のANOTHER),★4,NORMAL,Hard,AAA,4423,2023,377,51,17,26,912/2471,43,20,89.5
wilis -SABUN-,★4,NORMAL,Hard,AA,2360,1065,230,50,3,5,594/1352,9,10,87.28
Ultramarine [Ultra(7)],★4,NORMAL,Hard,AAA,3302,1554,194,23,4,3,1758/1775,7,6,93.01
SEPIA -EX色-,★4,NORMAL,Hard,AAA,2663,1219,225,37,3,8,552/1486,11,12,89.6
Mirai (busy),★3,EASY,FC,AAA,3616,1724,168,2,1,5,1896/1896,0,15,95.36
Faceless Moon (Dante Must Die!),★1,EASY,FC,AAA,2519,1211,97,3,0,6,1311/1311,4,28,96.07
ゲルニカの壁 [EX7],★1,NORMAL,FC,AAA,2585,1176,233,22,8,26,1441/1441,3,31,89.69
X (虎のANOTHER),★1,EASY,FC,AAA,3774,1800,174,13,0,0,1987/1987,0,11,94.97
FELYS (虎のANOTHER),★1,EASY,FC,AAA,2849,1336,177,7,0,3,1520/1520,3,37,93.72
supersoulsimulator (kei-another 7),★1,EASY,FC,AAA,3283,1523,237,12,0,5,1772/1772,4,33,92.64
ブクレシュティの人形師 -GIL-,★1,EASY,Hard,AAA,2165,1007,151,25,10,17,600/1200,18,12,90.21
In a dream (MANIAC),★2,EASY,FC,AAA,3168,1502,164,5,3,5,1676/1676,3,7,94.51
happy century 虎のANOTHER,★1,EASY,Hard,AAA,4051,1865,321,25,8,19,609/2226,24,11,90.99
Eclisse [29Another],★4,EASY,Hard,AAA,4221,1966,289,11,2,10,1199/2274,12,5,92.81
J2U (crazy remix 7AFOTHER),★3,NORMAL,Hard,AAA,3579,1685,209,10,3,3,1296/1907,6,27,93.84
Jade Star [alternative],★3,NORMAL,FC,AAA,2426,1119,188,28,0,2,1335/1335,2,3,90.86
AcceptAdvent-Border of Life- (★1),★1,NORMAL,FC,AAA,3020,1384,252,24,0,1,1660/1660,1,71,90.96
物怪舞踏 [29Another],★3,EASY,Hard,AAA,3999,1901,197,4,1,1,1393/2103,2,4,95.08
Lapis [Another+],★2,NORMAL,FC,AAA,3165,1458,249,18,0,0,1725/1725,0,23,91.74
Over the Sky [ANOTHER7],★3,NORMAL,Hard,AAA,3279,1497,285,34,3,7,1108/1821,10,12,90.03
Act #000000 (short),★3,NORMAL,Hard,AAA,2751,1276,199,17,4,5,1479/1500,4,10,91.7
Lostlove -BMS ver. another-,★3,NORMAL,Hard,AAA,3077,1473,131,13,3,11,1492/1622,4,26,94.85
x-Aria -虎之another-,★3,NORMAL,Hard,AAA,4814,2204,406,47,6,14,1720/2672,14,30,90.08
夜桜 -十六分咲き-,★3,NORMAL,Hard,AAA,3246,1507,232,24,1,7,1458/1767,8,9,91.85
Wasabi 激辛,★1,EASY,FC,AAA,2482,1187,108,5,1,3,1302/1302,4,34,95.31
Bird Sprite -D.K.R. mix- (afother),★3,NORMAL,FC,AAA,3163,1467,229,15,0,0,1711/1711,0,10,92.43
Air ANOTHER+,★3,EASY,FC,AAA,3939,1837,265,7,0,2,2109/2109,2,3,93.39
night starter Another,★3,EASY,Hard,AAA,2936,1398,140,3,1,6,1524/1542,7,26,95.2
★LittlE HearTs★ (虎の穴),★4,EASY,FC,AAA,3756,1780,196,24,0,1,2000/2000,1,10,93.9
LOVE☆BEAM (orange summer mix),★8,EASY,Hard,AAA,3638,1740,158,7,3,3,1825/1910,6,13,95.24
J219 (AFOTHER),★1,EASY,Hard,AAA,1804,867,70,5,4,5,849/946,7,56,95.35
おでんぱ☆ラヴガール -BMS EDIT- [Kei-Another7 +],★3,EASY,Hard,AAA,4128,1971,186,11,1,9,1801/2171,10,12,95.07
"ROTTELER'S HOME ""seven eduardo edit""",★3,EASY,Hard,AAA,3231,1516,199,9,8,8,982/1735,16,25,93.11
東の国のFLYING PAPARAZZI！ -Lunatic-,★3,EASY,FC,AAA,3239,1539,161,7,2,6,1710/1710,3,21,94.71
Midnight Driving -air mix-,★2,NORMAL,FC,AAA,3498,1618,262,17,2,5,1900/1900,6,8,92.05
"REWD ""B159 mix"" // (kei another7)",★2,EASY,FC,AAA,3285,1593,99,2,0,4,1694/1694,4,77,96.96
Rainy Season -ex7-,★1,NORMAL,FC,AAA,4007,1807,393,29,0,1,2229/2229,1,15,89.88
theme of Maia -maniac-,★4,EASY,Hard,AAA,2726,1264,198,10,1,18,558/1485,19,17,91.78
その斯くも美しき紅に (EX),★3,NORMAL,FC,AAA,3086,1451,184,14,0,0,1649/1649,0,7,93.57
桜華月 ウルトラセブン,★3,NORMAL,Hard,AAA,3008,1377,254,25,4,6,724/1662,10,9,90.49
Ruriko FINAL (7KEYS) EX2,★1,NORMAL,FC,AAA,4059,1940,179,16,5,9,2144/2144,3,98,94.66
Romancing Sa･Ga3 ラストバトル RockArrange (虎のANOTHER),★2,NORMAL,FC,AAA,5967,2811,345,19,0,3,3175/3175,3,56,93.97
"Little ""Sister"" Bitch",★2,EASY,FC,AAA,3460,1674,112,4,0,4,1790/1790,4,21,96.65
G.N. [N],★6,NORMAL,Hard,AA,3270,1403,464,103,15,42,528/2000,46,10,81.75
斧と盾 [7key_hard],★3,EASY,Hard,AAA,3993,1833,327,42,11,8,803/2218,19,9,90.01
qriving plare,★2,NORMAL,Hard,AAA,2155,985,185,25,6,8,715/1203,12,9,89.57
affected (ANOTHER7),★3,NORMAL,Hard,AAA,3139,1442,255,37,6,7,741/1743,12,11,90.05
HAMMER the TANGRAM　（苦しさアナザー満天の星空）,★2,NORMAL,FC,AAA,2882,1352,178,24,0,1,1554/1554,1,19,92.73
東の国のFLYING PAPARAZZI！ -ANOTHER-,★2,EASY,FC,AAA,3646,1792,62,3,1,1,1858/1858,2,47,98.12
A c i - L - A,★3,EASY,Hard,AAA,4347,2020,307,31,4,3,1245/2362,7,41,92.02
la noche (AFOTHER),★6,NORMAL,Hard,AAA,4034,1821,392,42,7,12,1367/2266,19,30,89.01
Angelic layer -ANOTHER-,★4,EASY,FC,AAA,3930,1845,240,3,0,0,2088/2088,0,4,94.11
aliceblue (Radio Edit) (SP EX+),★4,NORMAL,FC,AAA,3476,1612,252,19,0,4,1883/1883,4,4,92.3
Lostlove - maniac -,★6,NORMAL,Hard,A,2656,1086,484,126,16,27,451/1718,43,1,77.3
Love's Rebirth '06 -7another-,★7,NORMAL,Hard,AAA,3764,1748,268,34,1,2,1969/2051,3,9,91.76
ピアノ協奏曲第1番 月光条例,★12,NORMAL,Hard,AA,2565,1174,217,40,20,25,431/1460,29,27,87.84
あめふりこねこ (AFOTHER),★4,NORMAL,Hard,AAA,3783,1737,309,24,2,5,1147/2075,7,13,91.16
Free Hand zero [ANOTHER],★2,EASY,Hard,AAA,3399,1577,245,4,0,5,1142/1827,5,77,93.02
duty,★1,EASY,Hard,AAA,2750,1254,242,30,7,21,694/1536,19,27,89.52
