,hash,clear,perfect,great,good,bad,poor,totalnotes,maxcombo,minbp,playcount,clearcount,failcount,rank,rate,clear_db,op_history,scorehash,ghost,clear_sd,clear_ex,op_best,rseed,complete
0,621ad2a006a4d39a57749c5f8dcc11b6,5,1279,244,7,0,6,1530,1530,6,91,9,82,8,91,0,66570,9d14eacc218afdbcc223dc788489da0f,I8t4r5tXSExuSF4t9SKXSISEq6SGTF2WHsSNs1xr7s6TH6r6SHqSEXTGTETgY2D@ISLSEYX@F0sSEySIXSHSGD@F2r4qVLr2tq2q3vq18tSEtUGXSJSG2r0r2q7q2s1sTF1XYE@Ewu2ttssSEsuq9sX@ESESGTESJxSESESGq3xr2xs7g2SEsqSF6XTG4r3D@s6SHs8s7ur0zSISF2yuustr6UH3r8xsxr5r0tr0TGws3vTGvvsTEr1sxr8r9r2q3r4SJSEwg3quq5r4SEsSKs5SIXZ,0,0,21,22069,1
1,f8dcdfe070630bbb365323c662561a1a,5,1916,87,1,2,2,2006,2006,1,68,10,58,8,97,0,68618,319d19b882440b10138c0e7ea4d227bd,F45sr1SF2st4r1s1t4SJw7vvz2r8r22tr52yr8UH0@F1u4r2x3SJ8r10y4wvz2uTJzr0XVISJug5BHBG@F02s7s3r4SG2SG7r0x5SF5r0uu2xSGSESGSMytt0TF0vs1xxuy4SGZ,0,1,21,12235,1
2,de7652bd9c80b8830265336a725f7a98,5,1688,179,3,0,2,1870,1870,2,50,10,40,8,95,0,66570,fc08ed3f8e3434318f69a2d9efc32bf2,Nvr7q50stxstSGr7xsgTGSF5SLr9r4r7sv8zss0r9SF8TF6SH9xr1r7UF9vr07t9SEq2uSGtsu2SF1g@Jr6ytst1SG8tus4g11uSH8s2q2wt3SHr9SG8xSF7SKXSG7yztq4sr9r4sr5us6SGr9r5TG4tt4q34wr1vsuwTGsvtD7ESLwWI0SE@Gs8vq13ytzus7SF8r9sr2r1tr2s4sSJzr1r2s6ztutr6tSETH5Z,0,0,21,697,1
3,4c229d58ee1a5f27531dbf1dfb20dbff,5,1969,83,3,1,3,2056,2056,1,74,18,56,8,97,0,66570,e4ced1ced0fbf9cbf85d0179b9aca730,F8r2s7y0r0r43s6s2TN5u0s1TISG46t6x1q28q10t0tu5t6SI7SJ5t9tq5r3y1SF5r8r6ssr08SF6TH3BE@G2r14SKr3SGvSHr5s3r1s5g16s0@MwSLvr5XSG5ts7s1g10tzs4xg2D@G3s8wSIZ,0,0,23,4057,1
4,dbe5b5890e751aefbbee6187797b6e66,5,1390,278,26,4,12,1700,1700,2,24,6,18,8,89,0,66570,b6b01fb30c5d0ec486594cf7f3122ec0,F6SLs4vyvr6TETGutz@GSG9ttt5u4TG5q7sYGtr3uULBt@JsXSHsaF4XSGr0vSEsSL6qSHt0SG@F2suq10wXg2TGXTGXYTJq3@ItSIuSH0TPEYSLwuuh2IbHh3hHBEYYEYsSHh2hJr5SEs2tr8r1t6r0twWEswD8F2stsySKTGyyycsTGUF1uh2F3r0SF0Sg16SLTIg2sSNtr4r6r9SF0@ESJ@F9wXTL@F0SG0sr3s1TLr6r0suVPG3hKSIXSGXVGvr1sr1bLTEXBs@SGvytSEys@Iyws4sSJq12ttg8SF0r5ug9XSISEr3uD@r8ssg2SHSPYSGXSJq4tysxSJCZ,0,0,21,19238,1
5,f4c17f83cb7ba7ed6872ed001b5336e6,5,1470,179,1,0,3,1650,1650,3,40,12,28,8,94,0,66570,f010d41accf9e073b5b64ba1569346a1,MSJr6UEsvt4t9r0sq10r6w2TF0@F9SG8r3utuq10SEsSHtSGXUGSEwyv6r8y6r7uyv7s2s4SEs9sSEyq17vqXSMs0t2svr4r3r2s2q30@Jr0r7SJss7us8us2q48TJr8qwts5SF1vXSJVEUg3SF3r4SKsTF9XSLSESG2SK3SESF5r1SGsSGD@F0sSHsTLq2sr9XSESF0sSESGSGsySETH5r4u1r0SHZ,0,0,21,22187,1
6,dcb93d8d9c3e0386afb721fc55821c4b,4,1823,178,3,1,1,2006,1978,2,47,12,35,8,95,0,66570,8b32055d53fced80591c80e55f936de0,ESGTExtsq34tv4q2tq8zSHr9q20SMsutTG1ygsg3r9s5tyr0SF9vutuSGUNr0zvutu0r3ttur4zu5s4u6s1tsUgUEwstr2TEv3r39r9uq2q3yu4SF0xq20yr9ts9r6wr4sSGssySJsr6t8r9sr1r7XSJt1u0tur4x5TEr6yq5SH2SH3vsTGr4t6xq8s8zzt6SF7vtq17ztuUG0s6r1t2s2s3s0wbIBEtr3sZ,0,0,21,24595,1
7,3284c41bf372f18adcd1da097aa7e342,4,1608,276,12,3,32,1922,979,18,51,12,39,8,90,0,66570,fd31d478de18282d80dc4706fb3687a0,q4wSJ3Bq@F1t4g10sv7SKr3sSNXSGur9t2hI7uXSEXSEqSEtSJs9zSGuuSGq8sq8uSLr3r4SHr6SNVF3s0TETHSESGSHTG5uSF2r8SF5h@JsXSKtq20r1TIxSLSNuvywSJr4q10q6vssBS@2A5R4bGm2nTm2EWJTMtSF3g2SEShHhJSIY2@g3SLwTHr3Ywr1TGUExsvtUF0tr2sr3zuxtq2D@Es@GSF2@F3VEXSGSGSA5SBR3jRXTF9ss1TK1TH5r3r6vtr0q18S@q3wws1qsTF6syXYHyr5vs0q14yzSGr5t0s4r4uSIq22wus5SF0SMSF2r0r7wr4q4t5s9SEZ,0,0,23,27322,1
8,29b52b51223c4372ad94c9f78ddeb945,4,2342,331,8,3,4,2685,855,7,14,3,11,8,93,0,66570,2ccc8212d46fb5d038d4148244d444cc,G1zSK8wySLSF2r6t5UGw2v3s5sv7hIstr9t8vr6r0q22vq5t5r1SGsxSM5vsSF4SHt1v5SF2gXTEUF3BH@G2TGTGWGtSETKTEWETHUEs8SF5hEt6r2r2THr8TF2TIdUND16EvSGVED9LtSKvSMSF2SGYGBGSGSGSF0ss0TI3q6D7F6r4r3uXSG2SF5s0y3sVG0SK2TEsus4zXSL9SHu8s7uBG@Esr0yt0tq84SF3r0t6SM1xr1r0sSEWLSF2q7yXTF2ur1r1qu3r3r4TITLysD@GVF5svSKn2XSHr0uSEXVMsvSF3qs9tuq9wq8XSIvtr2WHg2tVIts5tr0SIqzSGTF2wZ,0,0,21,2254,1
9,76258c845d93987cdf7ba48f204271d6,4,1546,286,41,5,11,1887,1101,21,8,2,6,8,89,0,66570,c5ffdbf793e572eee4cf79d436cd17f9,IXUESLSKTG0uq11yr1tTLTGTF9XYuTESIxr4usSLg10twSEXULtSF7gdHVG2q4xYF2sgXg8g10uXBhgg19SMdsSLr1SHsn12g16hMsr0TJq10r1xTEu@F8tq2TF0r0g7ur3u5twXguTHuwsXg3TMr8vSEzs0s0@Jw7TG5SK2UF0usuzuVF7sWF3tXSHuSF4WGTG1r1vqULwvhGShEq2r1xTF3SF5sqUP2EyusSF2SG5stt5s5ss4SJ5zytuxzwhEXSEYYPShGTPESBY2REXSHzyr2SMSGqtr1r2uquSF7TKih@G@ESG9wgtSGs1n13SEr3XSGBG@JsXSKsTMgC@F3wXSIg3wr3yBc@EbIDZ,0,0,21,22001,1
